trial,mode,cand_label,cand_value,lockin_I,lockin_Q,lockin_mag,temp_c,route
13,dummy,c0,42,0.082102296,-0.236145237,0.250010720,44.5,4:5
14,dummy,c0,42,0.094294609,-0.234747675,0.252978150,44.5,4:5
14,dummy,c0,42,0.071989135,-0.260145960,0.269922871,44.5,4:5
15,dummy,c0,42,0.081925387,-0.288052979,0.299476690,44.5,4:5
15,dummy,c0,42,0.075905663,-0.218547783,0.231354281,44.5,4:5
16,dummy,c0,42,0.054897590,-0.237605410,0.243864873,44.6,4:5
16,dummy,c0,42,0.038289831,-0.196223909,0.199924820,44.6,4:5
17,dummy,c0,42,0.034947513,-0.231788051,0.234407826,44.9,4:5
17,dummy,c0,42,0.119806807,-0.237505849,0.266012592,44.9,4:5
18,dummy,c0,42,0.105781539,-0.243041482,0.265063947,44.5,4:5
18,dummy,c0,42,0.090191473,-0.232194333,0.249095786,44.5,4:5
19,dummy,c0,42,0.056049253,-0.232809645,0.239461583,44.6,4:5
19,dummy,c0,42,0.037281893,-0.222417036,0.225520016,44.6,4:5
20,dummy,c0,42,0.073538771,-0.182452596,0.196715278,44.5,4:5
20,dummy,c0,42,0.038182208,-0.235407426,0.238483830,44.5,4:5
21,dummy,c0,42,0.056859598,-0.195389101,0.203494262,44.5,4:5
21,dummy,c0,42,0.079881621,-0.240545202,0.253462162,44.5,4:5
22,dummy,c0,42,0.079291713,-0.247727498,0.260107841,44.5,4:5
22,dummy,c0,42,0.077741508,-0.261611450,0.272918107,44.5,4:5
23,dummy,c0,42,0.075255808,-0.234922355,0.246681880,44.5,4:5
23,dummy,c0,42,0.051053472,-0.267957886,0.272778088,44.5,4:5
24,dummy,c0,42,0.070649350,-0.225128372,0.235953628,44.5,4:5
24,dummy,c0,42,0.048964091,-0.226230326,0.231468449,44.5,4:5
25,dummy,c0,42,0.048735172,-0.240616413,0.245502291,44.5,4:5
25,dummy,c0,42,0.068914894,-0.215120168,0.225889241,44.5,4:5
26,dummy,c0,42,0.088343923,-0.253965601,0.268892497,44.1,4:5
26,dummy,c0,42,0.111767327,-0.257330396,0.280554572,44.1,4:5
27,dummy,c0,42,0.107023832,-0.247624105,0.269762485,44.5,4:5
27,dummy,c0,42,0.078581490,-0.209587105,0.223834325,44.5,4:5
28,dummy,c0,42,0.058133850,-0.220440706,0.227977301,44.0,4:5
28,dummy,c0,42,0.078180005,-0.176083707,0.192659246,44.0,4:5
